"","term","frequency","rank"
"1","yang",117,2
"2","dan",102,3
"3","dalam",84,4
"4","dengan",54,6
"5","sebagai",50,7
"6","itu",40,9
"7","dari",35,10
"8","pada",33,12
"9","tersebut",33,13
"10","the",31,15
"11","untuk",29,16
"12","suatu",27,18
"13","adalah",26,20
"14","ini",23,22
"15","atau",23,23
"16","oleh",23,24
"17","tidak",22,25
"18","bahwa",20,26
"19","juga",19,27
"20","secara",18,32
"21","dapat",17,33
"22","tertentu",17,35
"23","ada",14,39
"24","mengenai",13,43
"25","karena",12,44
"26","seperti",12,46
"27","tetapi",11,50
"28","hal",11,51
"29","melakukan",11,52
"30","menurut",11,53
"31","tentang",10,56
"32","kata",9,60
"33","merupakan",9,61
"34","telah",9,63
"35","antara",9,64
"36","digunakan",8,67
"37","apa",8,70
"38","lebih",8,72
"39","penting",8,73
"40","sebuah",8,74
"41","terhadap",8,75
"42","bagi",8,76
"43","and",7,79
"44","bagaimana",7,81
"45","cara",7,82
"46","demikian",7,83
"47","kepada",7,84
"48","satu",7,87
"49","selain",7,88
"50","saat",7,91
"51","bagian",6,94
"52","banyak",6,95
"53","mereka",6,99
"54","perlu",6,100
"55","seseorang",6,101
"56","tiga",6,102
"57","disebut",6,103
"58","lain",6,105
"59","yakni",6,107
"60","akan",6,108
"61","bukan",6,112
"62","menggunakan",6,113
"63","hanya",6,115
"64","dilakukan",5,118
"65","harus",5,120
"66","para",5,124
"67","setiap",5,126
"68","terutama",5,128
"69","benar",5,129
"70","bisa",5,137
"71","misalnya",5,140
"72","sesuatu",5,147
"73","menjadi",4,153
"74","sangat",4,156
"75","dilihat",4,157
"76","diri",4,158
"77","luar",4,159
"78","melalui",4,160
"79","atas",4,164
"80","disampaikan",4,165
"81","saja",4,166
"82","biasa",4,170
"83","dia",4,171
"84","siapa",4,182
"85","from",3,189
"86","that",3,195
"87","agar",3,196
"88","kita",3,201
"89","mempunyai",3,202
"90","mengatakan",3,203
"91","sekadar",3,208
"92","maupun",3,213
"93","mengetahui",3,215
"94","sehingga",3,217
"95","kedua",3,222
"96","lainnya",3,224
"97","pula",3,226
"98","belum",3,227
"99","ingin",3,228
"100","terjadi",3,231
"101","ketika",3,235
"102","memang",3,236
"103","selanjutnya",3,238
"104","berikut",3,241
"105","baik",3,247
"106","beberapa",3,257
"107","melihat",3,260
"108","menyangkut",3,262
"109","mengapa",3,266
"110","semua",3,267
"111","masih",2,276
"112","not",2,277
"113","akhirnya",2,286
"114","balik",2,287
"115","besar",2,288
"116","jelas",2,292
"117","mungkin",2,295
"118","nantinya",2,296
"119","sebelum",2,300
"120","yaitu",2,305
"121","bersama",2,309
"122","dimaksudkan",2,312
"123","menyatakan",2,320
"124","sebab",2,323
"125","tampaknya",2,325
"126","tanpa",2,326
"127","berupa",2,328
"128","jadi",2,330
"129","lagi",2,331
"130","begitu",2,351
"131","serta",2,357
"132","antaranya",2,360
"133","kini",2,364
"134","umumnya",2,368
"135","baru",2,371
"136","mirip",2,374
"137","sampai",2,377
"138","sedangkan",2,379
"139","setelah",2,381
"140","sudah",2,382
"141","tinggi",2,383
"142","hari",2,387
"143","tempat",2,392
"144","tentu",2,393
"145","pertama",2,399
"146","sementara",2,400
"147","tentunya",2,401
"148","sebagainya",2,408
"149","about",1,416
"150","are",1,424
"151","between",1,431
"152","but",1,433
"153","does",1,443
"154","for",1,453
"155","itself",1,463
"156","khususnya",1,469
"157","mulanya",1,480
"158","them",1,508
"159","there",1,509
"160","these",1,511
"161","very",1,523
"162","when",1,524
"163","which",1,525
"164","who",1,526
"165","with",1,527
"166","ialah",1,540
"167","memberi",1,546
"168","membuat",1,547
"169","menunjuk",1,550
"170","paling",1,555
"171","setidaknya",1,583
"172","justru",1,594
"173","kecil",1,595
"174","sedang",1,617
"175","ataupun",1,622
"176","dikatakan",1,625
"177","inilah",1,634
"178","kurang",1,642
"179","meskipun",1,652
"180","agak",1,667
"181","artinya",1,668
"182","kemungkinan",1,684
"183","memperlihatkan",1,691
"184","sebaliknya",1,709
"185","berarti",1,719
"186","berbagai",1,720
"187","dipergunakan",1,727
"188","melainkan",1,733
"189","mulai",1,741
"190","padahal",1,743
"191","sama",1,746
"192","sedikit",1,747
"193","sering",1,749
"194","tahun",1,750
"195","termasuk",1,751
"196","dahulu",1,764
"197","dekat",1,765
"198","itulah",1,771
"199","mendapatkan",1,779
"200","meyakinkan",1,786
"201","sebagian",1,798
"202","sejak",1,799
"203","sekali",1,800
"204","seluruh",1,801
"205","seluruhnya",1,802
"206","semacam",1,803
"207","tampak",1,809
"208","tegas",1,811
"209","apabila",1,820
"210","bukanlah",1,825
"211","diketahui",1,829
"212","dua",1,832
"213","melihatnya",1,848
"214","saya",1,859
"215","semuanya",1,864
"216","seorang",1,865
"217","dibuatnya",1,879
"218","diingat",1,880
"219","seperlunya",1,898
"220","berada",1,906
"221","dimaksud",1,916
"222","kemudian",1,925
"223","menjelaskan",1,939
"224","pihak",1,948
"225","pun",1,949
"226","waktu",1,962
"227","boleh",1,969
"228","menunjukkan",1,988
"229","siapakah",1,999
"230","hendaknya",1,1009
"231","jangan",1,1010
"232","kalau",1,1011
"233","memberikan",1,1016
"234","semakin",1,1026
"235","sendiri",1,1027
"236","seterusnya",1,1028
